TEAM STATISTICS,UTM,OPP
SCORING,237,254
Points Per Game,21.5,23.1
FIRST DOWNS,193,178
Rushing,79,87
Passing,105,76
Penalty,9,15
RUSHING YARDAGE,1689,1598
Yards gained rushing,1952,1975
Yards lost rushing,263,377
Rushing Attempts,401,415
Average Per Rush,4.2,3.9
Average Per Game,60.6,33.4
TDs Rushing,12,16
PASSING YARDAGE,2637,1694
Comp-Att-Int,199-343-12,154-305-8
Average Per Pass,7.7,5.6
Average Per Catch,13.3,11.0
TDs Passing,14,12
TOTAL OFFENSE,4326,3292
Total Plays,744,720
Average Per Play,5.8,4.6
KICK RETURNS: #-Yards,45-882,44-840
PUNT RETURNS: #-Yards,27-291,13-189
INT RETURNS: #-Yards,8-43,12-176
KICK RETURN AVERAGE,19.6,19.1
PUNT RETURN AVERAGE,10.8,14.5
INT RETURN AVERAGE,5.4,14.7
FUMBLES-LOST,16-10,21-10
PENALTIES-Yards,80-667,55-367
PUNTS-Yards,59-2331,65-2660
Average Per Punt,39.5,40.9
Net punt average,34.6,35.5
TIME OF POSSESSION/Game,30:26,29:24
3RD-DOWN Conversions,56/159,51/163
3rd-Down Pct,35%,31%
4TH-DOWN Conversions,4/22,8/21
4th-Down Pct,18%,38%
SACKS BY-Yards,22-125,22-151
MISC YARDS,26,0
TOUCHDOWNS SCORED,29,33
FIELD GOALS-ATTEMPTS,11-14,8-16
ON-SIDE KICKS,0-1,1-1
RED-ZONE SCORES,(25-37) 68%,(29-37) 78%
RED-ZONE TOUCHDOWNS,(15-37) 41%,(21-37) 57%
PAT-ATTEMPTS,(28-29) 97%,(30-32) 94%
ATTENDANCE,21503,135852
Games/Avg Per Game,5/4301,6/22642
Neutral Site Games,,0/0
