TEAM STATISTICS,TSU,OPP
SCORING,335,361
Points Per Game,30.5,32.8
FIRST DOWNS,221,255
Rushing,99,99
Passing,110,135
Penalty,12,21
RUSHING YARDAGE,1968,1977
Yards gained rushing,2157,2314
Yards lost rushing,189,337
Rushing Attempts,418,418
Average Per Rush,4.7,4.7
Average Per Game,53.4,54.8
TDs Rushing,21,18
PASSING YARDAGE,2609,2895
Comp-Att-Int,189-359-10,224-379-7
Average Per Pass,7.3,7.6
Average Per Catch,13.8,12.9
TDs Passing,17,27
TOTAL OFFENSE,4577,4872
Total Plays,777,797
Average Per Play,5.9,6.1
KICK RETURNS: #-Yards,65-1130,48-904
PUNT RETURNS: #-Yards,10-180,20-226
INT RETURNS: #-Yards,7-79,10-242
KICK RETURN AVERAGE,17.4,18.8
PUNT RETURN AVERAGE,18.0,11.3
INT RETURN AVERAGE,11.3,24.2
FUMBLES-LOST,11-7,24-15
PENALTIES-Yards,76-587,73-603
PUNTS-Yards,56-2159,41-1627
Average Per Punt,38.6,39.7
Net punt average,33.1,31.9
TIME OF POSSESSION/Game,30:09,29:51
3RD-DOWN Conversions,63/163,62/148
3rd-Down Pct,39%,42%
4TH-DOWN Conversions,11/14,10/23
4th-Down Pct,79%,43%
SACKS BY-Yards,28-175,12-85
MISC YARDS,0,49
TOUCHDOWNS SCORED,41,47
FIELD GOALS-ATTEMPTS,16-24,12-17
ON-SIDE KICKS,1-1,1-2
RED-ZONE SCORES,(37-43) 86%,(36-41) 88%
RED-ZONE TOUCHDOWNS,(27-43) 63%,(27-41) 66%
PAT-ATTEMPTS,(37-39) 95%,(43-45) 96%
ATTENDANCE,57117,78382
Games/Avg Per Game,4/14279,6/13064
Neutral Site Games,,1/43532
