TEAM STATISTICS,APSU,OPP
SCORING,133,429
Points Per Game,12.1,39.0
Points Off Turnovers,27,62
FIRST DOWNS,146,254
Rushing,68,120
Passing,60,114
Penalty,18,20
RUSHING YARDAGE,1402,2348
Yards gained rushing,1732,2544
Yards lost rushing,330,196
Rushing Attempts,424,442
Average Per Rush,3.3,5.3
Average Per Game,44.8,59.3
TDs Rushing,9,34
PASSING YARDAGE,1325,2615
Comp-Att-Int,151-301-4,232-369-5
Average Per Pass,4.4,7.1
Average Per Catch,8.8,11.3
TDs Passing,9,17
TOTAL OFFENSE,2727,4963
Total Plays,725,811
Average Per Play,3.8,6.1
KICK RETURNS: #-Yards,43-727,26-494
PUNT RETURNS: #-Yards,15-68,32-264
INT RETURNS: #-Yards,5-66,4-93
KICK RETURN AVERAGE,16.9,19.0
PUNT RETURN AVERAGE,4.5,8.2
INT RETURN AVERAGE,13.2,23.2
FUMBLES-LOST,18-7,17-8
PENALTIES-Yards,63-493,75-652
PUNTS-Yards,90-3224,44-1797
Average Per Punt,35.8,40.8
Net punt average,32.2,37.0
KICKOFFS-Yards,31-1628,81-4834
Average Per Kick,52.5,59.7
Net kick average,33.4,41.8
TIME OF POSSESSION/Game,29:59,30:01
3RD-DOWN Conversions,41/168,78/161
3rd-Down Pct,24%,48%
4TH-DOWN Conversions,11/28,7/12
4th-Down Pct,39%,58%
SACKS BY-Yards,9-59,25-170
MISC YARDS,0,93
TOUCHDOWNS SCORED,18,55
FIELD GOALS-ATTEMPTS,5-7,16-24
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(17-23) 74%,(48-54) 89%
RED-ZONE TOUCHDOWNS,(12-23) 52%,(38-54) 70%
PAT-ATTEMPTS,(10-14) 71%,(51-54) 94%
ATTENDANCE,23386,91945
Games/Avg Per Game,5/4677,6/15324
Neutral Site Games,,0/0
