TEAM STATISTICS,APSU,OPP
SCORING,259,517
Points Per Game,23.5,47.0
Points Off Turnovers,16,99
FIRST DOWNS,210,271
Rushing,105,133
Passing,87,122
Penalty,18,16
RUSHING YARDAGE,2014,2836
Yards gained rushing,2428,3020
Yards lost rushing,414,184
Rushing Attempts,472,442
Average Per Rush,4.3,6.4
Average Per Game,59.9,63.4
TDs Rushing,16,38
PASSING YARDAGE,2028,2737
Comp-Att-Int,166-291-9,231-330-5
Average Per Pass,7.0,8.3
Average Per Catch,12.2,11.8
TDs Passing,16,29
TOTAL OFFENSE,4042,5573
Total Plays,763,772
Average Per Play,5.3,7.2
KICK RETURNS: #-Yards,61-1244,37-884
PUNT RETURNS: #-Yards,11-48,25-228
INT RETURNS: #-Yards,5-48,9-136
KICK RETURN AVERAGE,20.4,23.9
PUNT RETURN AVERAGE,4.4,9.1
INT RETURN AVERAGE,9.6,15.1
FUMBLES-LOST,35-15,17-8
PENALTIES-Yards,87-659,79-697
PUNTS-Yards,58-2169,33-1330
Average Per Punt,37.4,40.3
Net punt average,33.1,38.2
KICKOFFS-Yards,48-2530,89-5258
Average Per Kick,52.7,59.1
Net kick average,31.2,38.9
TIME OF POSSESSION/Game,31:11,28:49
3RD-DOWN Conversions,58/158,62/135
3rd-Down Pct,37%,46%
4TH-DOWN Conversions,12/26,14/17
4th-Down Pct,46%,82%
SACKS BY-Yards,10-75,28-180
MISC YARDS,14,27
TOUCHDOWNS SCORED,35,70
FIELD GOALS-ATTEMPTS,5-9,10-15
ON-SIDE KICKS,1-2,1-1
RED-ZONE SCORES,(24-31) 77%,(49-58) 84%
RED-ZONE TOUCHDOWNS,(20-31) 65%,(41-58) 71%
PAT-ATTEMPTS,(30-32) 94%,(65-68) 96%
ATTENDANCE,30587,97865
Games/Avg Per Game,5/6117,6/16311
Neutral Site Games,,0/0
