TEAM STATISTICS,INS,OPP
SCORING,254,157
Points Per Game,23.1,14.3
FIRST DOWNS,193,169
Rushing,87,66
Passing,80,85
Penalty,26,18
RUSHING YARDAGE,1747,1419
Yards gained rushing,2036,1607
Yards lost rushing,289,188
Rushing Attempts,426,404
Average Per Rush,4.1,3.5
Average Per Game,51.0,65.6
TDs Rushing,14,9
PASSING YARDAGE,1640,1841
Comp-Att-Int,157-289-9,170-318-16
Average Per Pass,5.7,5.8
Average Per Catch,10.4,10.8
TDs Passing,10,8
TOTAL OFFENSE,3387,3260
Total Plays,715,722
Average Per Play,4.7,4.5
KICK RETURNS: #-Yards,25-602,27-588
PUNT RETURNS: #-Yards,17-153,13-65
INT RETURNS: #-Yards,16-338,9-76
KICK RETURN AVERAGE,24.1,21.8
PUNT RETURN AVERAGE,9.0,5.0
INT RETURN AVERAGE,21.1,8.4
FUMBLES-LOST,12-5,7-3
PENALTIES-Yards,63-561,71-722
PUNTS-Yards,64-2790,75-2823
Average Per Punt,43.6,37.6
Net punt average,38.7,34.6
KICKOFFS-Yards,50-3121,39-2376
Average Per Kick,62.4,60.9
Net kick average,49.6,37.2
TIME OF POSSESSION/Game,31:00,28:58
3RD-DOWN Conversions,43/149,56/171
3rd-Down Pct,29%,33%
4TH-DOWN Conversions,8/19,9/18
4th-Down Pct,42%,50%
SACKS BY-Yards,16-94,23-165
MISC YARDS,1,0
TOUCHDOWNS SCORED,30,18
FIELD GOALS-ATTEMPTS,15-18,10-16
ON-SIDE KICKS,1-2,0-0
RED-ZONE SCORES,(26-31) 84%,(20-26) 77%
RED-ZONE TOUCHDOWNS,(14-31) 45%,(11-26) 42%
PAT-ATTEMPTS,(29-30) 97%,(17-17) 100%
ATTENDANCE,38317,91300
Games/Avg Per Game,6/6386,5/18260
Neutral Site Games,,0/0
