TEAM STATISTICS,USD,OPP
SCORING,209,309
Points Per Game,17.4,25.8
FIRST DOWNS,222,218
Rushing,100,109
Passing,107,93
Penalty,15,16
RUSHING YARDAGE,1730,2098
Yards gained rushing,2041,2431
Yards lost rushing,311,333
Rushing Attempts,451,498
Average Per Rush,3.8,4.2
Average Per Game,57.3,51.3
TDs Rushing,12,20
PASSING YARDAGE,2343,2053
Comp-Att-Int,205-401-11,167-300-15
Average Per Pass,5.8,6.8
Average Per Catch,11.4,12.3
TDs Passing,11,17
TOTAL OFFENSE,4073,4151
Total Plays,852,798
Average Per Play,4.8,5.2
KICK RETURNS: #-Yards,29-628,31-740
PUNT RETURNS: #-Yards,19-74,31-385
INT RETURNS: #-Yards,15-215,11-204
KICK RETURN AVERAGE,21.7,23.9
PUNT RETURN AVERAGE,3.9,12.4
INT RETURN AVERAGE,14.3,18.5
FUMBLES-LOST,16-9,20-10
PENALTIES-Yards,81-688,70-616
PUNTS-Yards,75-3003,63-2493
Average Per Punt,40.0,39.6
Net punt average,33.6,37.4
KICKOFFS-Yards,45-2672,59-3676
Average Per Kick,59.4,62.3
Net kick average,36.8,40.2
TIME OF POSSESSION/Game,30:13,29:47
3RD-DOWN Conversions,62/184,61/160
3rd-Down Pct,34%,38%
4TH-DOWN Conversions,8/21,3/13
4th-Down Pct,38%,23%
SACKS BY-Yards,39-203,21-119
MISC YARDS,12,0
TOUCHDOWNS SCORED,25,43
FIELD GOALS-ATTEMPTS,12-21,5-10
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(27-38) 71%,(25-32) 78%
RED-ZONE TOUCHDOWNS,(19-38) 50%,(22-32) 69%
PAT-ATTEMPTS,(21-23) 91%,(36-38) 95%
ATTENDANCE,48568,96730
Games/Avg Per Game,6/8095,6/16122
Neutral Site Games,,0/0
