TEAM STATISTICS,TTU,OPP
SCORING,313,353
Points Per Game,26.1,29.4
FIRST DOWNS,222,237
Rushing,102,105
Passing,93,121
Penalty,27,11
RUSHING YARDAGE,1803,2056
Yards gained rushing,2209,2346
Yards lost rushing,406,290
Rushing Attempts,482,506
Average Per Rush,3.7,4.1
Average Per Game,45.6,68.3
TDs Rushing,26,20
PASSING YARDAGE,1947,2676
Comp-Att-Int,190-352-10,237-373-14
Average Per Pass,5.5,7.2
Average Per Catch,10.2,11.3
TDs Passing,13,22
TOTAL OFFENSE,3750,4732
Total Plays,834,879
Average Per Play,4.5,5.4
KICK RETURNS: #-Yards,51-947,42-925
PUNT RETURNS: #-Yards,22-249,29-464
INT RETURNS: #-Yards,14-110,10-87
KICK RETURN AVERAGE,18.6,22.0
PUNT RETURN AVERAGE,11.3,16.0
INT RETURN AVERAGE,7.9,8.7
FUMBLES-LOST,20-10,20-11
PENALTIES-Yards,80-547,95-820
PUNTS-Yards,75-3442,59-2462
Average Per Punt,45.9,41.7
Net punt average,36.5,36.2
KICKOFFS-Yards,59-3116,67-3674
Average Per Kick,52.8,54.8
Net kick average,33.3,36.6
TIME OF POSSESSION/Game,29:06,30:54
3RD-DOWN Conversions,68/188,64/178
3rd-Down Pct,36%,36%
4TH-DOWN Conversions,14/25,16/28
4th-Down Pct,56%,57%
SACKS BY-Yards,23-146,32-217
MISC YARDS,104,8
TOUCHDOWNS SCORED,41,46
FIELD GOALS-ATTEMPTS,9-13,11-16
ON-SIDE KICKS,1-3,1-2
RED-ZONE SCORES,(37-42) 88%,(34-40) 85%
RED-ZONE TOUCHDOWNS,(31-42) 74%,(27-40) 68%
PAT-ATTEMPTS,(40-41) 98%,(42-44) 95%
ATTENDANCE,51106,101361
Games/Avg Per Game,6/8518,6/16894
Neutral Site Games,,0/0
