TEAM STATISTICS,MSU,OPP
SCORING,275,312
Points Per Game,22.9,26.0
Points Off Turnovers,137,76
FIRST DOWNS,215,221
Rushing,112,95
Passing,90,110
Penalty,13,16
RUSHING YARDAGE,2168,2240
Yards gained rushing,2436,2407
Yards lost rushing,268,167
Rushing Attempts,527,461
Average Per Rush,4.1,4.9
Average Per Game,56.4,46.4
TDs Rushing,13,17
PASSING YARDAGE,1997,2410
Comp-Att-Int,161-294-8,201-339-13
Average Per Pass,6.8,7.1
Average Per Catch,12.4,12.0
TDs Passing,19,21
TOTAL OFFENSE,4165,4650
Total Plays,821,800
Average Per Play,5.1,5.8
KICK RETURNS: #-Yards,47-838,29-636
PUNT RETURNS: #-Yards,18-183,22-237
INT RETURNS: #-Yards,13-123,8-88
KICK RETURN AVERAGE,17.8,21.9
PUNT RETURN AVERAGE,10.2,10.8
INT RETURN AVERAGE,9.5,11.0
FUMBLES-LOST,9-4,16-9
PENALTIES-Yards,77-677,62-557
PUNTS-Yards,83-3309,68-2698
Average Per Punt,39.9,39.7
Net punt average,36.0,34.9
KICKOFFS-Yards,56-3258,63-3750
Average Per Kick,58.2,59.5
Net kick average,37.4,41.1
TIME OF POSSESSION/Game,31:07,28:46
3RD-DOWN Conversions,51/172,67/171
3rd-Down Pct,30%,39%
4TH-DOWN Conversions,7/14,5/10
4th-Down Pct,50%,50%
SACKS BY-Yards,19-105,29-190
MISC YARDS,0,0
TOUCHDOWNS SCORED,35,38
FIELD GOALS-ATTEMPTS,12-17,15-21
ON-SIDE KICKS,1-1,0-0
RED-ZONE SCORES,(29-34) 85%,(34-41) 83%
RED-ZONE TOUCHDOWNS,(20-34) 59%,(24-41) 59%
PAT-ATTEMPTS,(29-32) 91%,(33-34) 97%
ATTENDANCE,58324,107482
Games/Avg Per Game,5/11665,7/15355
Neutral Site Games,,0/0
