TEAM STATISTICS,APSU,OPP
SCORING,116,523
Points Per Game,9.7,43.6
Points Off Turnovers,123,217
FIRST DOWNS,147,301
Rushing,67,139
Passing,60,131
Penalty,20,31
RUSHING YARDAGE,1523,2917
Yards gained rushing,1927,3131
Yards lost rushing,404,214
Rushing Attempts,485,532
Average Per Rush,3.1,5.5
Average Per Game,66.0,53.9
TDs Rushing,5,38
PASSING YARDAGE,1475,3025
Comp-Att-Int,145-271-10,237-338-5
Average Per Pass,5.4,8.9
Average Per Catch,10.2,12.8
TDs Passing,9,30
TOTAL OFFENSE,2998,5942
Total Plays,756,870
Average Per Play,4.0,6.8
KICK RETURNS: #-Yards,45-842,22-440
PUNT RETURNS: #-Yards,10-35,39-340
INT RETURNS: #-Yards,5-89,10-110
KICK RETURN AVERAGE,18.7,20.0
PUNT RETURN AVERAGE,3.5,8.7
INT RETURN AVERAGE,17.8,11.0
FUMBLES-LOST,17-9,24-11
PENALTIES-Yards,84-792,79-647
PUNTS-Yards,98-3659,44-1720
Average Per Punt,37.3,39.1
Net punt average,33.1,36.5
KICKOFFS-Yards,29-1531,92-5513
Average Per Kick,52.8,59.9
Net kick average,34.2,39.4
TIME OF POSSESSION/Game,30:10,29:50
3RD-DOWN Conversions,45/182,75/160
3rd-Down Pct,25%,47%
4TH-DOWN Conversions,6/22,13/20
4th-Down Pct,27%,65%
SACKS BY-Yards,7-52,23-160
MISC YARDS,0,0
TOUCHDOWNS SCORED,15,71
FIELD GOALS-ATTEMPTS,4-5,9-12
ON-SIDE KICKS,0-1,0-0
RED-ZONE SCORES,(12-19) 63%,(59-65) 91%
RED-ZONE TOUCHDOWNS,(8-19) 42%,(51-65) 78%
PAT-ATTEMPTS,(10-13) 77%,(68-69) 99%
ATTENDANCE,24206,78152
Games/Avg Per Game,5/4841,7/11165
Neutral Site Games,,0/0
