TEAM STATISTICS,TSU,OPP
SCORING,332,274
Points Per Game,27.7,22.8
Points Off Turnovers,276,281
FIRST DOWNS,246,207
Rushing,72,96
Passing,152,81
Penalty,22,30
RUSHING YARDAGE,1561,1799
Yards gained rushing,1845,2219
Yards lost rushing,284,420
Rushing Attempts,409,508
Average Per Rush,3.8,3.5
Average Per Game,91.4,65.1
TDs Rushing,15,19
PASSING YARDAGE,3268,1840
Comp-Att-Int,257-475-18,164-317-16
Average Per Pass,6.9,5.8
Average Per Catch,12.7,11.2
TDs Passing,23,11
TOTAL OFFENSE,4829,3639
Total Plays,884,825
Average Per Play,5.5,4.4
KICK RETURNS: #-Yards,37-829,42-847
PUNT RETURNS: #-Yards,33-224,14-75
INT RETURNS: #-Yards,16-191,18-292
KICK RETURN AVERAGE,22.4,20.2
PUNT RETURN AVERAGE,6.8,5.4
INT RETURN AVERAGE,11.9,16.2
FUMBLES-LOST,25-12,20-9
PENALTIES-Yards,121-1097,89-781
PUNTS-Yards,66-2523,84-3052
Average Per Punt,38.2,36.3
Net punt average,35.6,31.5
KICKOFFS-Yards,64-3409,54-3143
Average Per Kick,53.3,58.2
Net kick average,35.3,35.0
TIME OF POSSESSION/Game,31:08,28:52
3RD-DOWN Conversions,77/192,54/179
3rd-Down Pct,40%,30%
4TH-DOWN Conversions,12/23,5/20
4th-Down Pct,52%,25%
SACKS BY-Yards,43-245,14-89
MISC YARDS,0,72
TOUCHDOWNS SCORED,44,36
FIELD GOALS-ATTEMPTS,9-20,8-12
ON-SIDE KICKS,0-1,1-1
RED-ZONE SCORES,(35-47) 74%,(26-33) 79%
RED-ZONE TOUCHDOWNS,(30-47) 64%,(20-33) 61%
PAT-ATTEMPTS,(37-41) 90%,(30-34) 88%
ATTENDANCE,66622,40208
Games/Avg Per Game,6/11104,5/8042
Neutral Site Games,,1/46914
