TEAM STATISTICS,NDSU,OPP
SCORING,524,230
Points Per Game,34.9,15.3
Points Off Turnovers,71,49
FIRST DOWNS,329,193
Rushing,173,75
Passing,137,98
Penalty,19,20
RUSHING YARDAGE,3551,1567
Yards gained rushing,3782,1862
Yards lost rushing,231,295
Rushing Attempts,712,444
Average Per Rush,5.0,3.5
Average Per Game,45.7,42.6
TDs Rushing,33,13
PASSING YARDAGE,2795,2505
Comp-Att-Int,220-358-8,211-433-16
Average Per Pass,7.8,5.8
Average Per Catch,12.7,11.9
TDs Passing,30,14
TOTAL OFFENSE,6346,4072
Total Plays,1070,877
Average Per Play,5.9,4.6
KICK RETURNS: #-Yards,34-989,52-996
PUNT RETURNS: #-Yards,29-343,17-140
INT RETURNS: #-Yards,16-152,8-118
KICK RETURN AVERAGE,29.1,19.2
PUNT RETURN AVERAGE,11.8,8.2
INT RETURN AVERAGE,9.5,14.8
FUMBLES-LOST,25-12,15-9
PENALTIES-Yards,77-686,79-639
PUNTS-Yards,63-2874,103-4295
Average Per Punt,45.6,41.7
Net punt average,39.3,37.6
KICKOFFS-Yards,97-6086,53-3210
Average Per Kick,62.7,60.6
Net kick average,41.4,34.4
TIME OF POSSESSION/Game,-36:-9,23:21
3RD-DOWN Conversions,101/214,52/202
3rd-Down Pct,47%,26%
4TH-DOWN Conversions,16/25,12/24
4th-Down Pct,64%,50%
SACKS BY-Yards,33-206,16-91
MISC YARDS,0,0
TOUCHDOWNS SCORED,70,28
FIELD GOALS-ATTEMPTS,12-23,12-15
ON-SIDE KICKS,0-0,0-2
RED-ZONE SCORES,(51-61) 84%,(25-29) 86%
RED-ZONE TOUCHDOWNS,(43-61) 70%,(14-29) 48%
PAT-ATTEMPTS,(66-70) 94%,(24-24) 100%
ATTENDANCE,166472,68161
Games/Avg Per Game,9/18497,5/13632
Neutral Site Games,,1/21836
