TEAM STATISTICS,SIU,OPP
SCORING,340,338
Points Per Game,30.9,30.7
Points Off Turnovers,44,52
FIRST DOWNS,254,229
Rushing,81,92
Passing,155,108
Penalty,18,29
RUSHING YARDAGE,1512,1825
Yards gained rushing,1738,2093
Yards lost rushing,226,268
Rushing Attempts,421,435
Average Per Rush,3.6,4.2
Average Per Game,71.1,57.5
TDs Rushing,19,12
PASSING YARDAGE,3660,2939
Comp-Att-Int,300-472-7,220-381-12
Average Per Pass,7.8,7.7
Average Per Catch,12.2,13.4
TDs Passing,23,30
TOTAL OFFENSE,5172,4764
Total Plays,893,816
Average Per Play,5.8,5.8
KICK RETURNS: #-Yards,41-969,43-840
PUNT RETURNS: #-Yards,14-60,20-208
INT RETURNS: #-Yards,12-100,7-88
KICK RETURN AVERAGE,23.6,19.5
PUNT RETURN AVERAGE,4.3,10.4
INT RETURN AVERAGE,8.3,12.6
FUMBLES-LOST,21-8,14-2
PENALTIES-Yards,80-782,71-632
PUNTS-Yards,76-2920,73-3063
Average Per Punt,38.4,42.0
Net punt average,33.8,37.6
KICKOFFS-Yards,62-3729,65-3849
Average Per Kick,60.1,59.2
Net kick average,38.9,38.2
TIME OF POSSESSION/Game,29:08,30:52
3RD-DOWN Conversions,75/194,52/175
3rd-Down Pct,39%,30%
4TH-DOWN Conversions,12/22,9/20
4th-Down Pct,55%,45%
SACKS BY-Yards,20-122,29-162
MISC YARDS,-20,26
TOUCHDOWNS SCORED,45,44
FIELD GOALS-ATTEMPTS,9-17,11-20
ON-SIDE KICKS,0-2,0-1
RED-ZONE SCORES,(32-37) 86%,(30-42) 71%
RED-ZONE TOUCHDOWNS,(27-37) 73%,(23-42) 55%
PAT-ATTEMPTS,(39-43) 91%,(41-43) 95%
ATTENDANCE,47511,63557
Games/Avg Per Game,6/7918,5/12711
Neutral Site Games,,0/0
