TEAM STATISTICS,JSU,OPP
SCORING,371,219
Points Per Game,30.9,18.2
Points Off Turnovers,81,29
FIRST DOWNS,251,180
Rushing,143,61
Passing,91,83
Penalty,17,36
RUSHING YARDAGE,3007,1072
Yards gained rushing,3258,1490
Yards lost rushing,251,418
Rushing Attempts,558,415
Average Per Rush,5.4,2.6
Average Per Game,90.4,40.7
TDs Rushing,32,12
PASSING YARDAGE,2202,2227
Comp-Att-Int,161-318-8,172-374-18
Average Per Pass,6.9,6.0
Average Per Catch,13.7,12.9
TDs Passing,13,14
TOTAL OFFENSE,5209,3299
Total Plays,876,789
Average Per Play,5.9,4.2
KICK RETURNS: #-Yards,38-703,54-1112
PUNT RETURNS: #-Yards,26-257,27-199
INT RETURNS: #-Yards,18-394,8-97
KICK RETURN AVERAGE,18.5,20.6
PUNT RETURN AVERAGE,9.9,7.4
INT RETURN AVERAGE,21.9,12.1
FUMBLES-LOST,12-7,22-7
PENALTIES-Yards,116-1085,60-488
PUNTS-Yards,73-2662,89-3626
Average Per Punt,36.5,40.7
Net punt average,33.2,36.3
KICKOFFS-Yards,74-4410,48-2839
Average Per Kick,59.6,59.1
Net kick average,39.2,41.4
TIME OF POSSESSION/Game,31:26,28:34
3RD-DOWN Conversions,61/178,42/182
3rd-Down Pct,34%,23%
4TH-DOWN Conversions,8/17,11/19
4th-Down Pct,47%,58%
SACKS BY-Yards,38-225,19-110
MISC YARDS,46,31
TOUCHDOWNS SCORED,49,27
FIELD GOALS-ATTEMPTS,12-20,10-17
ON-SIDE KICKS,0-0,0-1
RED-ZONE SCORES,(39-47) 83%,(20-30) 67%
RED-ZONE TOUCHDOWNS,(28-47) 60%,(14-30) 47%
PAT-ATTEMPTS,(41-49) 84%,(21-23) 91%
ATTENDANCE,123030,135402
Games/Avg Per Game,7/17576,5/27080
Neutral Site Games,,0/0
